country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Indonesia;Jawa Barat;30;3705869;2007190;1962239;38744;6798;3851;1979;3659;2327;5244;3055;5116;2886;2632;5421;3753;2565;3758;3502;3657;5646;4509;6974;3459;2568;2575;5561;4421
Indonesia;Jawa Barat;50;3705869;1749028;1651420;38744;6745;3781;1956;3478;2285;5051;3019;5002;2834;2590;5238;3667;2389;3504;3126;3400;5146;3983;6013;3138;2282;2324;4777;3902
Indonesia;Jawa Barat;75;3705869;1230679;1087787;38744;6413;3445;1833;2837;2049;4167;2751;4355;2518;2362;4501;3261;1836;2699;2115;2647;3712;2700;3575;2255;1593;1641;3048;2564
Indonesia;Jawa Tengah;0;3443699;3443699;3443699;30174;2717;1962;806;3683;1744;3551;2939;2704;3090;1343;4675;2721;1925;4561;2994;2866;4550;3666;4283;3932;3091;3175;8629;4486
Indonesia;Jawa Tengah;10;3443699;1819604;1727227;30174;2694;1930;796;3626;1725;3510;2917;2678;3070;1333;4568;2507;1293;3162;2003;2380;3670;2794;3059;2980;2283;2265;5469;3114
Indonesia;Jawa Tengah;15;3443699;1723121;1596892;30174;2689;1924;795;3612;1721;3503;2913;2673;3066;1329;4549;2492;1263;3103;1964;2361;3623;2750;2988;2933;2243;2222;5274;3033
Indonesia;Jawa Tengah;20;3443699;1676079;1577062;30174;2684;1910;794;3593;1713;3494;2908;2665;3061;1327;4529;2478;1232;3036;1915;2339;3578;2688;2923;2877;2199;2186;5129;2966
Indonesia;Jawa Tengah;25;3443699;1599447;1523939;30174;2679;1905;792;3579;1707;3484;2905;2660;3057;1326;4517;2460;1206;2958;1861;2314;3525;2632;2850;2818;2157;2139;4942;2875
Indonesia;Jawa Tengah;30;3443699;1507023;1453236;30174;2676;1899;791;3568;1703;3474;2898;2657;3054;1323;4500;2450;1180;2883;1808;2285;3457;2573;2769;2752;2109;2085;4726;2774
Indonesia;Jawa Tengah;50;3443699;1249439;1136284;30174;2618;1792;770;3393;1624;3313;2799;2568;2992;1297;4263;2342;1013;2441;1527;2094;3133;2248;2345;2417;1845;1800;3744;2293
Indonesia;Jawa Tengah;75;3443699;820906;690661;30174;2353;1421;669;2628;1281;2312;2229;2061;2532;1144;3376;1943;673;1465;971;1519;2142;1424;1399;1545;1171;1167;2124;1425
Indonesia;Jawa Timur;0;4799588;4799588;4799588;37376;4265;4102;2934;6600;2872;5844;4475;4050;4343;1665;6724;10788;7550;10850;4283;4117;7697;7217;8601;6428;5277;4314;11718;7778
Indonesia;Jawa Timur;10;4799588;2343479;2360760;37376;4241;4071;2921;6522;2842;5786;4450;4018;4301;1655;5983;8510;3109;7298;3134;3367;5233;4744;5560;5237;3823;3167;7192;5095
